OBJECTID_12,Site.name,Lat,Long,OBJECTID_2,STATEFP,COUNTYFP,TLID,TFIDL,TFIDR,MTFCC,FULLNAME,SMID,LFROMADD,LTOADD,RFROMADD,RTOADD,ZIPL,ZIPR,DIVROAD,TNIDF,TNIDT,L_BLKID10,R_BLKID10,LTOWN,RTOWN,L_TOWNID,R_TOWNID,Distance,Road_Type
1,Lake Wampanoag,42.6076,-71.96225,3981,25,027,40024976,238828249,238828249,S1400,Wampanoag South Rd, ,97,1,98,2,01440,01440,N,83932952,83932962,250277075001007,250277075001007,GARDNER,GARDNER,103,103,417.7872301,local
2,Lincoln Woods,42.50967,-71.75862,28441,25,027,40030453,215564394,215569905,S1400,Union St,2759,334,392,339,395,01453,01453,N,83936754,83936756,250277092013005,250277092011001,LEOMINSTER,LEOMINSTER,153,153,162.8099252,local
3,Rutland Brook,42.46651,-72.15151,29008,25,027,39992968,215560000,215560000,S1400,Allen Camp Rd,2759, , , , , , ,N,83910624,83910625,250277042002049,250277042002049,PETERSHAM,PETERSHAM,234,234,513.4629481,local
4,Eagle Lake,42.35556,-71.89084,31953,25,027,40083152,215572283,215556290,S1400,Causeway St,2759,381,135,386,336,01522,01522,N,83958171,83918050,250277281003000,250277281003005,HOLDEN,HOLDEN,134,134,306.0642623,local
5,Burncoat Pond,42.2426,-71.95753,35144,25,027,40104777,228112119,215586002,S1400,Greenville St,2759,131,151,130,142,01562,01562,N,83968983,83968984,250277261002000,250277261002004,SPENCER,SPENCER,280,280,703.9603465,local
6,Pierpoint Meadow,42.08221,-71.91101,45746,25,027,40075349,215565091,215585843,S1400,Klondike Rd,2759,117,199,116,198,01571,01571,N,83927964,83954245,250277552001005,250277552001005,DUDLEY,DUDLEY,80,80,253.8898337,local
7,Braod Meadow Brook,42.22716,-71.7716,46784,25,027,40015472,215571901,257440360,S1400,Swenson Ave,2759,10,198,15,199,01607,01607,N,83926381,83926383,250277328021021,250277328021021,WORCESTER,WORCESTER,348,348,459.0175037,local
8,Flat Rocks,42.60154,-71.8187,48057,25,027,40027252,215565704,215568607,S1400,Ashburnham Hill Rd,2759,352,762,353,741,01420,01420,N,83934545,83933147,250277111002018,250277111002020,FITCHBURG,FITCHBURG,97,97,499.2301719,local
9,Leadmine Mountain,42.07615,-72.11465,57834,25,027,40043441,215560678,215560677,S1400,Leadmine Ln,2759,114,198, , ,01518, ,N,83945191,83915857,250277581011046,250277581011023,STURBRIDGE,STURBRIDGE,287,287,711.8241326,local
10,Wachusett Meadow,42.46341,-71.90404,58878,25,027,40032455,215566805,215566808,S1400,Thompson Rd,2759,192,2,191,1,01541,01541,N,83938130,83938150,250277201002033,250277201002039,PRINCETON,PRINCETON,241,241,465.7334566,local
11,Cooks Canyon,42.41212,-72.10326,60946,25,027,39993645,215571791,215561027,S1400, , , , , , , , ,N,83911086,83911503,250277221002036,250277221002036,BARRE,BARRE,21,21,50.54554418,local
12,Leadmine Mountain,42.07615,-72.11465,46,25,027,40000658,215560700,215589898,S1500, , , , , , , , ,N,83915924,83915867,250277581011043,250277581011023,STURBRIDGE,STURBRIDGE,287,287,2016.079603,unpaved
13,Eagle Lake,42.35556,-71.89084,48,25,027,40032176,215566719,228650949,S1500,Jeep Trl, , , , , , , ,N,83937931,83937955,250277061002022,250277061002024,HUBBARDSTON,HUBBARDSTON,140,140,13104.56374,unpaved
14,Wachusett Meadow,42.46341,-71.90404,48,25,027,40032176,215566719,228650949,S1500,Jeep Trl, , , , , , , ,N,83937931,83937955,250277061002022,250277061002024,HUBBARDSTON,HUBBARDSTON,140,140,4669.064545,unpaved
15,Cooks Canyon,42.41212,-72.10326,50,25,027,39994315,215571797,215571796,S1500, , , , , , , , ,N,83911521,83911522,250277221001010,250277221001010,BARRE,BARRE,21,21,4980.287794,unpaved
16,Flat Rocks,42.60154,-71.8187,64,25,027,40068426,215561965,215562846,S1500,St Peter St, , , , , , , ,N,83952328,83935581,250277102004002,250277102004005,FITCHBURG,FITCHBURG,97,97,4293.621804,unpaved
17,Lincoln Woods,42.50967,-71.75862,64,25,027,40068426,215561965,215562846,S1500,St Peter St, , , , , , , ,N,83952328,83935581,250277102004002,250277102004005,FITCHBURG,FITCHBURG,97,97,7042.280907,unpaved
18,Rutland Brook,42.46651,-72.15151,65,25,027,40080076,215559067,258131752,S1500,White Horse Ln,2759, , , , , , ,N,83956633,83910890,250277042002091,250277042002133,PETERSHAM,PETERSHAM,234,234,2732.28715,unpaved
19,Lake Wampanoag,42.6076,-71.96225,94,25,027,40059356,215576156,230116426,S1500, , , , , , , , ,N,83933601,83933973,250277071002062,250277071002061,GARDNER,GARDNER,103,103,7598.154637,unpaved
20,Braod Meadow Brook,42.22716,-71.7716,99,25,027,40148196,215585888,215560702,S1500, , , , , , , , ,N,83924313,83991908,250277329011019,250277329011005,WORCESTER,WORCESTER,348,348,1173.491891,unpaved
21,Burncoat Pond,42.2426,-71.95753,113,25,027,40003968,215585123,228905901,S1500,Jeep Trl, , , , , , , ,N,83918287,83918288,250277261002004,250277262004011,SPENCER,SPENCER,280,280,1624.960725,unpaved
22,Pierpoint Meadow,42.08221,-71.91101,188,25,027,40017892,230052115,230052079,S1500,Jeep Trl,2759, , , , , , ,N,83928083,83928084,250277552004014,250277552004019,DUDLEY,DUDLEY,80,80,3946.821083,unpaved
23,Braod Meadow Brook,42.22716,-71.7716,5917,25,027,40109269,230021429,257440360,S1200,SW Cutoff,2759,340,400,339,385,01604,01604,N,83971229,83971230,250277328021024,250277328021021,WORCESTER,WORCESTER,348,348,505.4972077,secondary
24,Burncoat Pond,42.2426,-71.95753,6182,25,027,40047731,238510054,215569963,S1200,Main St,2759, , ,1801,1899, ,01524,N,83946427,83946430,250277351003025,250277351003028,LEICESTER,LEICESTER,151,151,1307.029487,secondary
25,Wachusett Meadow,42.46341,-71.90404,6707,25,027,40096221,215570498,215566821,S1200,Hubbardston Rd,2759,226,140,225,141,01541,01541,N,83938154,83964706,250277201002066,250277201002053,PRINCETON,PRINCETON,241,241,1883.39245,secondary
26,Flat Rocks,42.60154,-71.8187,6959,25,027,40025282,215574851,215565735,S1200,Mechanic St,2759,416,496,417,485,01420,01420,N,83933191,83933187,250277111002023,250277108001000,FITCHBURG,FITCHBURG,97,97,1389.64616,secondary
27,Eagle Lake,42.35556,-71.89084,8359,25,027,40004785,215556268,215557721,S1200,Main St,2759,1563,1625,1532,1608,01522,01522,N,83918871,83918870,250277281003009,250277284002021,HOLDEN,HOLDEN,134,134,804.5429864,secondary
28,Lincoln Woods,42.50967,-71.75862,9178,25,027,40030861,215565255,215564394,S1200,Central St,2759,394,482,357,483,01453,01453,N,83955094,83955095,250277092022003,250277092013005,LEOMINSTER,LEOMINSTER,153,153,412.7713949,secondary
29,Pierpoint Meadow,42.08221,-71.91101,9648,25,027,40090107,215588106,228110726,S1200,Main St,2759,86,74,83,53,01540,01540,N,83929046,83961649,250277532002059,250277532002060,OXFORD,OXFORD,226,226,3396.595423,secondary
30,Cooks Canyon,42.41212,-72.10326,9854,25,027,39993563,215561027,215560043,S1200,Summer St,2759,598,336,599,353,01005,01005,N,83911002,83911001,250277221002036,250277221002040,BARRE,BARRE,21,21,456.4079394,secondary
31,Leadmine Mountain,42.07615,-72.11465,10361,25,027,40001206,215554729,215560671,S1200,Mashapaug Rd,2759,261,259, , ,01566, ,N,83916375,83916373,250277581011025,250277581011116,STURBRIDGE,STURBRIDGE,287,287,1136.684894,secondary
32,Lake Wampanoag,42.6076,-71.96225,39379,25,027,623962886,238828249,238828258,S1200,Pearl St,2759,874,998,861,999,01440,01440,N,83970017,415083205,250277075001007,250277075002005,GARDNER,GARDNER,103,103,805.5740639,secondary
33,Rutland Brook,42.46651,-72.15151,45071,25,027,39993154,215559051,215559497,S1200,Barre Rd,2759, , , , , , ,N,83910736,83910511,250277042002058,250277042002050,PETERSHAM,PETERSHAM,234,234,957.0029731,secondary
34,Burncoat Pond,42.2426,-71.95753,263,25,027,40134997,215577259,215565030,S1100,I- 90,2759, , , , , , ,Y,83960978,83960981,250277561021011,250277561021059,CHARLTON,CHARLTON,54,54,8109.134445,primary
35,Leadmine Mountain,42.07615,-72.11465,333,25,027,40000748,215560677,215561133,S1100,I- 84,2759, , , , , , ,Y,83916005,83916875,250277581011023,250277581011025,STURBRIDGE,STURBRIDGE,287,287,919.7158741,primary
36,Lake Wampanoag,42.6076,-71.96225,504,25,027,40095909,215565331,215590134,S1100,I- 190,2759, , , , , , ,Y,83937293,83964550,250277094001008,250277094001001,LEOMINSTER,LEOMINSTER,153,153,20816.55334,primary
37,Flat Rocks,42.60154,-71.8187,504,25,027,40095909,215565331,215590134,S1100,I- 190,2759, , , , , , ,Y,83937293,83964550,250277094001008,250277094001001,LEOMINSTER,LEOMINSTER,153,153,10788.07186,primary
38,Lincoln Woods,42.50967,-71.75862,626,25,027,625113369,239180255,238958859,S1100,Shire St, ,2,98,1,99,01453,01453, ,415220706,415701962,250277092021057,250277092021058,LEOMINSTER,LEOMINSTER,153,153,2323.5616,primary
39,Wachusett Meadow,42.46341,-71.90404,725,25,027,40120841,215572629,215567764,S1100,I- 190,2759, , , , , , ,Y,83964826,83964822,250277191002033,250277191002034,STERLING,STERLING,282,282,10485.56107,primary
40,Braod Meadow Brook,42.22716,-71.7716,851,25,027,40133540,228109882,215562658,S1100,I- 90,2759, , , , , , ,Y,83984714,83960279,250277373004001,250277373004007,MILLBURY,MILLBURY,186,186,1115.727203,primary
41,Eagle Lake,42.35556,-71.89084,964,25,027,40120763,215572566,215557790,S1100,I- 190,2759, , , , , , ,Y,83958619,83977896,250277284003033,250277284003034,HOLDEN,HOLDEN,134,134,6236.04113,primary
42,Pierpoint Meadow,42.08221,-71.91101,1105,25,027,40109538,215589091,215567007,S1100,I- 395,2759, , , , , , ,Y,83971364,83929504,250277531003005,250277531003013,OXFORD,OXFORD,226,226,3667.185523,primary
43,Cooks Canyon,42.41212,-72.10326,1189,25,027,40120870,215572645,215567796,S1100,I- 190,2759, , , , , , ,Y,83964891,83964892,250277291002011,250277291002013,WEST BOYLSTON,WEST BOYLSTON,321,321,23702.76148,primary
44,Rutland Brook,42.46651,-72.15151,1251,25,027,40117558,215569415,215575882,S1100,I- 190,2759, , , , , , ,Y,83975969,83964835,250277291002003,250277291002005,WEST BOYLSTON,WEST BOYLSTON,321,321,28855.22213,primary
